,count,mean,std,min,25%,50%,75%,max
feature4467,400.0,0.05631822276625,0.03394293263890107,0.0,0.0306940385,0.067294825,0.08157267875,0.13874528
feature4468,400.0,0.0456849674605,0.029599344096211073,0.0,0.018150086500000003,0.053045475999999994,0.070248055,0.11574739
feature4469,400.0,0.046307419713750006,0.030953083275511255,0.0,0.018215002,0.053228726000000004,0.07028999350000001,0.14854418
feature4470,400.0,0.0442322162465,0.027442974807532532,0.0,0.0210625355,0.051742871999999995,0.06634433,0.093140446
feature4471,400.0,0.052844791012499996,0.02995705677120215,0.0,0.036813527,0.0621922335,0.07427443574999999,0.19175777
feature4472,400.0,0.08025386610750002,0.03876649245565498,0.0,0.077354128,0.091106123,0.1011387875,0.19688831
feature4473,400.0,0.0822178923025,0.04285913130540233,0.0,0.0721989725,0.09089986,0.1052698975,0.24095458
feature4474,400.0,0.06641534527875001,0.035473487439492926,0.0,0.054412538499999996,0.079528945,0.0883638825,0.1647375
feature4475,400.0,0.053531561038749995,0.034017144223175595,0.0,0.023275479,0.06516375499999999,0.0797845495,0.1438945
feature4476,400.0,0.048330852344,0.03303992724378387,0.0,0.01268142725,0.058436916500000005,0.07647292,0.14831334
feature4477,400.0,0.04911563683175,0.03541249909531262,0.0,0.0129196775,0.05653563,0.07637151875,0.20039722
feature4478,400.0,0.039626079796,0.026628505003838517,0.0,0.015493276625,0.0471645705,0.06237469675,0.09242078
feature4479,400.0,0.04288524853,0.026697173708701238,0.0,0.02207733075,0.0519607415,0.06287371875,0.11742717
feature4480,400.0,0.057225711522749995,0.03141705289517647,0.0,0.043859009000000004,0.066820905,0.0762456975,0.15230863
feature4481,400.0,0.08147719743375,0.041861733956495686,0.0,0.070760315,0.088898931,0.10178825375,0.2765279
feature4482,400.0,0.06633796698,0.03341316881799823,0.0,0.05569652625,0.0754479475,0.0885396925,0.16484511
feature4483,400.0,0.056397643556249995,0.03394772825099165,0.0,0.03136573325,0.066396662,0.08031732225,0.24857728
feature4484,400.0,0.056544485889999996,0.03324212008272847,0.0,0.035028838,0.0685924675,0.07916300125,0.21293725
feature4485,400.0,0.060826217115,0.03916742647024347,0.0,0.0369224815,0.067109978,0.08493758500000001,0.2759348
feature4486,400.0,0.044468115707500006,0.025935522735250866,0.0,0.028287325,0.05297066,0.06440958699999999,0.10573253
feature4487,400.0,0.041201277493749994,0.024999009768256884,0.0,0.021642283749999998,0.048727344500000006,0.06047666425,0.11425381
feature4488,400.0,0.053521641445,0.028411581721571943,0.0,0.039754699750000004,0.060715079500000005,0.07263206250000001,0.12637897
feature4489,400.0,0.13107549001750002,0.06340472173125267,0.0,0.11643098125,0.13425117,0.1606815975,0.32522938
feature4490,400.0,0.089795423,0.04147352053882292,0.0,0.083443174,0.099312245,0.11051140649999999,0.21890475
feature4491,400.0,0.06087095328625001,0.034458851134303976,0.0,0.0435719275,0.07208076,0.083034915,0.26415378
